Date,signal,Settle,MA,Upper Band,Lower Band,Short Position Stop,Long Position Stop
2013-01-02,0.0,79.948,,,,,
2013-01-03,0.0,80.515,,,,,
2013-01-04,0.0,80.61,,,,,
2013-01-07,0.0,80.369,,,,,
2013-01-08,0.0,80.445,,,,,
2013-01-09,0.0,80.677,,,,,
2013-01-10,0.0,79.817,,,,,
2013-01-11,0.0,79.611,,,,,
2013-01-14,0.0,79.54,,,,,
2013-01-15,0.0,79.832,,,,,
2013-01-16,0.0,79.854,,,,,
2013-01-17,0.0,79.711,,,,,
2013-01-18,0.0,80.116,,,,,
2013-01-21,0.0,80.116,,,,,
2013-01-22,0.0,79.973,,,,,
2013-01-23,0.0,79.99,,,,,
2013-01-24,0.0,80.007,,,,,
2013-01-25,0.0,79.82,,,,,
2013-01-28,0.0,79.868,,,,,
2013-01-29,0.0,79.624,80.02215,80.68111776097166,79.36318223902833,,
2013-01-30,0.0,79.326,79.99105,80.71644299004058,79.26565700995943,,
2013-01-31,0.0,79.226,79.9266,80.6827318403559,79.17046815964409,,
2013-02-01,0.0,79.135,79.85285,80.61567246296238,79.09002753703763,,
2013-02-04,0.0,79.573,79.81305,80.54649596938016,79.07960403061985,,
2013-02-05,0.0,79.533,79.76745000000001,80.44968089200066,79.08521910799936,,
2013-02-06,0.0,79.767,79.72195000000002,80.2620442417764,79.18185575822365,,
2013-02-07,0.0,80.257,79.74395000000001,80.33149964896594,79.15640035103408,,
2013-02-08,0.0,80.316,79.77920000000002,80.41335884445462,79.14504115554541,,
2013-02-11,0.0,80.389,79.82165,80.49831632101797,79.14498367898204,,
2013-02-12,0.0,80.163,79.8382,80.5310666827031,79.1453333172969,,
2013-02-13,0.0,80.167,79.85385,80.56142085157599,79.146279148424,,
2013-02-14,0.0,80.538,79.8952,80.65897237446768,79.13142762553233,,
2013-02-15,0.0,80.576,79.9182,80.73317204860044,79.10322795139956,,
2013-02-18,0.0,80.576,79.94120000000001,80.80188498302225,79.08051501697777,,
2013-02-19,0.0,80.545,79.9698,80.8699219028554,79.06967809714462,,
2013-02-20,2.0,81.155,80.02805000000001,81.06607957086975,78.99002042913027,82.7781,
2013-02-21,0.0,81.551,80.10525,81.33709932114282,78.87340067885718,82.7781,
2013-02-22,0.0,81.585,80.1935,81.57478889085522,78.81221110914478,82.7781,
2013-02-25,0.0,81.777,80.28895000000001,81.82251466769422,78.7553853323058,82.7781,
2013-02-26,0.0,81.94,80.40475,82.06455226231924,78.74494773768077,82.7781,
2013-02-27,0.0,81.672,80.52205000000001,82.19188549788598,78.85221450211404,82.7781,
2013-02-28,0.0,82.003,80.66090000000001,82.33837630683719,78.98342369316283,82.7781,
2013-03-01,0.0,82.358,80.82205000000002,82.50145614206338,79.14264385793666,82.7781,
2013-03-04,0.0,82.255,80.95615000000001,82.6434904250477,79.26880957495231,82.7781,
2013-03-05,0.0,82.147,81.08685000000001,82.71698536554489,79.45671463445514,82.7781,
2013-03-06,0.0,82.507,81.22385000000001,82.84780495935082,79.5998950406492,82.7781,
2013-03-07,0.0,82.123,81.31715000000001,82.92249871912621,79.71180128087381,82.7781,
2013-03-08,0.0,82.731,81.43790000000001,83.08658322002748,79.78921677997255,82.7781,
2013-03-11,0.0,82.58,81.54745000000001,83.19395897051919,79.90094102948083,82.7781,
2013-03-12,0.0,82.595,81.66905000000001,83.24638236510259,80.09171763489744,82.7781,
2013-03-13,-2.0,82.902,81.80580000000002,83.31111639199212,80.30048360800792,82.7781,
2013-03-14,0.0,82.623,81.91005000000003,83.33644580411617,80.48365419588389,82.7781,
2013-03-15,0.0,82.256,81.99405000000003,83.28802812578118,80.70007187421888,82.7781,
2013-03-18,0.0,82.574,82.09395000000004,83.23393008315942,80.95396991684065,82.7781,
2013-03-19,0.0,82.574,82.19540000000003,83.10348951100656,81.28731048899351,82.7781,
2013-03-20,0.0,82.574,82.26635000000003,83.05163473180122,81.48106526819885,82.7781,
2013-03-21,0.0,82.905,82.33405000000003,83.09402933524544,81.57407066475463,82.7781,
2013-03-22,0.0,82.529,82.38125000000004,83.06245712709138,81.7000428729087,82.7781,
2013-03-25,0.0,82.995,82.44215000000004,83.11410394931505,81.77019605068503,82.7781,
2013-03-26,0.0,83.048,82.49755000000003,83.17742159817135,81.81767840182872,82.7781,
2013-03-27,0.0,83.411,82.58450000000003,83.26461454917539,81.90438545082468,82.7781,
2013-03-28,0.0,83.175,82.64310000000003,83.31461288893068,81.97158711106938,82.7781,
2013-04-01,0.0,82.899,82.67015000000005,83.3371157487458,82.0031842512543,82.7781,
2013-04-02,0.0,83.092,82.71200000000006,83.37453996105899,82.04946003894113,82.7781,
2013-04-03,0.0,82.861,82.74770000000007,83.35962845987095,82.13577154012918,82.7781,
2013-04-04,0.0,82.795,82.76210000000006,83.3641690658056,82.16003093419452,82.7781,
2013-04-05,0.0,82.603,82.78610000000006,83.31859972769948,82.25360027230064,82.7781,
2013-04-08,0.0,82.869,82.79300000000006,83.32604108659653,82.2599589134036,82.7781,
2013-04-09,0.0,82.414,82.78470000000007,83.33561890510313,82.23378109489701,82.7781,
2013-04-10,0.0,82.634,82.78665000000007,83.33514002725667,82.23815997274346,82.7781,
2013-04-11,0.0,82.325,82.75780000000006,83.33872601938631,82.1768739806138,82.7781,
2013-04-12,0.0,82.406,82.74695000000006,83.34538344659204,82.14851655340807,82.7781,
2013-04-15,0.0,82.507,82.75950000000006,83.32589332623188,82.19310667376824,82.7781,
2013-04-16,1.0,81.823,82.72195000000006,83.41742522601459,82.02647477398554,82.7781,80.18654
