Date,Index
19961231,2154.99
19970101,2154.99
19970102,2154.56
19970103,2266.59
19970106,2185.22
19970107,2050.61
19970108,2104.34
19970109,2167.89
19970110,2175.48
19970113,2216.38
19970114,2346.26
19970115,2407.96
19970116,2268.06
19970117,2292.33
19970120,2494.05
19970121,2527.97
19970122,2705.94
19970123,2845.57
19970124,2704.14
19970127,2646.28
19970128,2837.34
19970129,3034.25
19970130,3010.58
19970131,3041.29
19970203,3126.75
19970204,3203.67
19970205,3135.75
19970206,3289.40
19970207,3274.93
19970210,3420.99
19970211,3397.38
19970212,3507.80
19970213,3644.25
19970214,3667.94
19970217,3667.21
19970218,3636.40
19970219,3783.31
19970220,3521.13
19970221,3421.13
19970224,3277.44
19970225,3192.23
19970226,3454.63
19970227,3423.19
19970228,3463.24
19970303,3579.96
19970304,3646.54
19970305,3544.44
19970306,3600.44
19970307,3527.71
19970310,3743.26
19970311,3706.57
19970312,3245.47
19970313,3206.85
19970314,3251.11
19970317,2883.08
19970318,2871.26
19970319,2951.94
19970320,3031.06
19970321,2970.43
19970324,2903.01
19970325,2991.55
19970326,2898.51
19970327,3202.56
19970328,3202.56
19970331,3330.99
19970401,3266.37
19970402,3110.23
19970403,2891.90
19970404,3008.73
19970407,2820.68
19970408,2926.74
19970409,3133.66
19970410,3201.03
19970411,3281.70
19970414,3276.45
19970415,3127.04
19970416,3138.61
19970417,3302.76
19970418,3408.45
19970421,3363.12
19970422,3406.50
19970423,3326.79
19970424,3255.60
19970425,3314.85
19970428,3287.00
19970429,3133.17
19970430,3204.30
19970501,3080.93
19970502,2971.87
19970505,2846.16
19970506,2714.66
19970507,2622.91
19970508,2590.12
19970509,2767.03
19970512,2902.06
19970513,2915.70
19970514,3083.64
19970515,3224.56
19970516,3247.78
19970519,3206.21
19970520,3513.04
19970521,3410.11
19970522,3257.68
19970523,3262.57
19970526,3262.57
19970527,3190.14
19970528,3252.66
19970529,3203.55
19970530,3037.28
19970602,2803.72
19970603,2940.82
19970604,2935.23
19970605,2779.37
19970606,2945.85
19970609,3111.71
19970610,3073.43
19970611,3181.00
19970612,3076.35
19970613,2944.99
19970616,3083.70
19970617,2943.39
19970618,3006.38
19970619,3052.37
19970620,2981.56
19970623,2969.04
19970624,2975.87
19970625,3007.11
19970626,2849.24
19970627,2863.20
19970630,2965.42
19970701,3025.32
19970702,3006.26
19970703,3323.72
19970704,3321.72
19970707,3812.01
19970708,3713.28
19970709,3715.51
19970710,3752.29
19970711,3798.82
19970714,3564.05
19970715,3326.69
19970716,3505.33
19970717,3336.02
19970718,3129.52
19970721,3174.90
19970722,3262.21
19970723,3226.98
19970724,3225.37
19970725,3206.01
19970728,3381.06
19970729,3406.08
19970730,3460.92
19970731,3303.10
19970801,3168.67
19970804,3284.00
19970805,3341.47
19970806,3287.01
19970807,3276.49
19970808,3137.24
19970811,3122.18
19970812,3044.75
19970813,3005.47
19970814,2886.76
19970815,2729.43
19970818,2732.16
19970819,2846.09
19970820,2771.52
19970821,2661.22
19970822,2536.67
19970825,2594.00
19970826,2613.71
19970827,2446.17
19970828,2553.81
19970829,2498.39
19970901,2494.89
19970902,2669.28
19970903,2674.36
19970904,2514.43
19970905,2464.64
19970908,2485.10
19970909,2436.64
19970910,2429.57
19970911,2394.59
19970912,2365.13
19970915,2319.01
19970916,2340.12
19970917,2301.51
19970918,2349.84
19970919,2309.89
19970922,2470.66
19970923,2429.40
19970924,2494.99
