Date,signal,Open,MA,Upper Band,Lower Band
2013-01-02,0.0,79.62,,,
2013-01-03,0.0,79.93,,,
2013-01-04,0.0,80.77,,,
2013-01-07,0.0,80.61,,,
2013-01-08,0.0,80.31,,,
2013-01-09,0.0,80.51,,,
2013-01-10,0.0,80.75,,,
2013-01-11,0.0,79.86,,,
2013-01-14,0.0,79.535,,,
2013-01-15,0.0,79.54,,,
2013-01-16,0.0,79.765,,,
2013-01-17,0.0,79.8,,,
2013-01-18,0.0,79.76,,,
2013-01-21,0.0,80.16,,,
2013-01-22,0.0,80.185,,,
2013-01-23,0.0,79.94,,,
2013-01-24,0.0,80.05,,,
2013-01-25,0.0,80.08,,,
2013-01-28,0.0,79.84,,,
2013-01-29,0.0,79.85,80.04324999999999,80.7803068159918,79.30619318400817
2013-01-30,0.0,79.625,80.0435,80.7799855735179,79.30701442648208
2013-01-31,0.0,79.275,80.01075,80.81924412490135,79.20225587509866
2013-02-01,0.0,79.14,79.92925,80.74376995064576,79.11473004935424
2013-02-04,0.0,79.175,79.8575,80.67232820275194,79.04267179724806
2013-02-05,0.0,79.65,79.82450000000001,80.6164905302464,79.03250946975363
2013-02-06,0.0,79.555,79.77675000000002,80.5106932879998,79.04280671200024
2013-02-07,0.0,79.805,79.72950000000002,80.3129886459906,79.14601135400943
2013-02-08,0.0,80.3,79.75150000000002,80.38412232018793,79.11887767981212
2013-02-11,0.0,80.275,79.78850000000003,80.45195384164987,79.12504615835019
2013-02-12,0.0,80.415,79.83225000000002,80.53841198566616,79.12608801433387
2013-02-13,0.0,80.1,79.84900000000002,80.56382585291801,79.13417414708202
2013-02-14,0.0,80.18,79.86800000000002,80.59667276606169,79.13932723393836
2013-02-15,0.0,80.48,79.90400000000002,80.67753474388678,79.13046525611327
2013-02-18,0.0,80.7,79.93100000000001,80.77305463005673,79.08894536994329
2013-02-19,0.0,80.745,79.95900000000002,80.86759011660924,79.0504098833908
2013-02-20,0.0,80.46,79.98500000000001,80.919323284522,79.05067671547803
2013-02-21,2.0,81.175,80.04125000000002,81.11021152877453,78.97228847122551
2013-02-22,0.0,81.485,80.1115,81.35227435498965,78.87072564501037
2013-02-25,0.0,81.705,80.20475000000002,81.61820136103086,78.79129863896918
2013-02-26,0.0,81.93,80.30875000000002,81.89768321130877,78.71981678869126
2013-02-27,0.0,81.94,80.42450000000002,82.1303162269131,78.71868377308695
2013-02-28,0.0,81.605,80.54100000000003,82.23509739979731,78.84690260020274
2013-03-01,-2.0,82.01,80.68450000000001,82.36575815983149,79.00324184016854
2013-03-04,0.0,82.355,80.84350000000002,82.52513640540991,79.16186359459013
2013-03-05,0.0,82.21,80.97150000000002,82.6599729787592,79.28302702124084
2013-03-06,0.0,82.02,81.09475,82.70991400096085,79.47958599903916
2013-03-07,0.0,82.615,81.23525000000001,82.8659966848042,79.60450331519581
2013-03-08,0.0,82.165,81.3285,82.94791378282385,79.70908621717616
2013-03-11,0.0,82.76,81.45275000000001,83.11064467397657,79.79485532602345
2013-03-12,0.0,82.675,81.56575000000001,83.23336288973185,79.89813711026817
2013-03-13,0.0,82.575,81.68950000000001,83.26864818810643,80.1103518118936
2013-03-14,0.0,82.915,81.82625,83.330762794894,80.321737205106
2013-03-15,0.0,82.53,81.92875000000001,83.32807439055415,80.52942560944587
2013-03-18,0.0,82.68,82.02775,83.34297422042772,80.71252577957227
2013-03-19,0.0,82.574,82.1192,83.31375039240699,80.92464960759303
2013-03-20,0.0,82.574,82.2249,83.15926628791907,81.29053371208094
2013-03-21,0.0,83.0,82.31615000000001,83.17605238399462,81.4562476160054
2013-03-22,0.0,82.96,82.38990000000001,83.20379333453445,81.57600666546557
2013-03-25,0.0,82.61,82.43515000000001,83.19020185914584,81.68009814085417
2013-03-26,0.0,83.02,82.48965000000001,83.24833103310915,81.73096896689087
2013-03-27,0.0,83.04,82.54465,83.29541688126179,81.79388311873822
2013-03-28,0.0,83.42,82.6354,83.34769752210683,81.92310247789318
2013-04-01,0.0,83.175,82.69365,83.38198430104819,82.00531569895182
2013-04-02,0.0,82.87,82.7194,83.39351791253421,82.04528208746578
2013-04-03,0.0,83.075,82.76265,83.41099042755289,82.1143095724471
2013-04-04,0.0,82.84,82.80364999999999,83.35547615921995,82.25182384078003
2013-04-05,0.0,82.88,82.8169,83.36266364847748,82.27113635152253
2013-04-08,0.0,82.75,82.84615,83.30477414894925,82.38752585105074
2013-04-09,0.0,82.78,82.84715,83.30510513972379,82.3891948602762
2013-04-10,0.0,82.485,82.83765,83.31688408685051,82.35841591314949
2013-04-11,0.0,82.65,82.8414,83.3134747398447,82.36932526015529
2013-04-12,0.0,82.295,82.8104,83.33731342742375,82.28348657257625
2013-04-15,1.0,82.19,82.7934,83.37455072055316,82.21224927944685
2013-04-16,0.0,82.395,82.77915,83.38420909628685,82.17409090371315
2013-04-17,0.0,81.895,82.7452,83.45893177034476,82.03146822965523
2013-04-18,0.0,82.735,82.75325,83.46269538197063,82.04380461802936
2013-04-19,0.0,82.67,82.73675,83.43777264585353,82.03572735414647
2013-04-22,-1.0,82.835,82.73049999999999,83.42565393978562,82.03534606021437
2013-04-23,0.0,82.765,82.73825000000001,83.4313104230509,82.04518957694911
2013-04-24,0.0,83.21,82.74775000000001,83.46091530341815,82.03458469658187
2013-04-25,0.0,83.03,82.74725000000001,83.45960858245654,82.03489141754348
2013-04-26,0.0,82.895,82.721,83.36795131192346,82.07404868807654
2013-04-29,0.0,82.445,82.6845,83.30677726939003,82.06222273060997
2013-04-30,0.0,82.225,82.65225000000001,83.29909986666114,82.00540013333888
2013-05-01,1.0,81.74,82.5855,83.31439574014362,81.85660425985637
2013-05-02,0.0,81.64,82.52550000000001,83.35177416757367,81.69922583242635
2013-05-03,0.0,82.29,82.49600000000001,83.31160161843854,81.68039838156147
2013-05-06,0.0,82.14,82.4655,83.28643178766544,81.64456821233458
2013-05-07,0.0,82.38,82.44550000000001,83.2542082292147,81.63679177078532
2013-05-08,0.0,82.365,82.43950000000001,83.24872740932298,81.63027259067704
2013-05-09,0.0,81.965,82.40525,83.23369719204037,81.57680280795962
2013-05-10,-1.0,82.815,82.43125,83.27668997421436,81.58581002578565
2013-05-13,0.0,83.265,82.485,83.39637259120491,81.57362740879509
2013-05-14,0.0,83.245,82.5275,83.49562964007903,81.55937035992098
2013-05-15,2.0,83.72,82.61875,83.67154093366135,81.56595906633866
2013-05-16,0.0,83.89,82.67650000000002,83.86626510286676,81.48673489713327
2013-05-17,0.0,83.88,82.73700000000001,84.03722075048798,81.43677924951204
2013-05-20,0.0,84.24,82.80725000000001,84.26351740332932,81.3509825966707
2013-05-21,0.0,83.885,82.86325000000001,84.39299597564415,81.33350402435586
2013-05-22,0.0,83.865,82.896,84.48108233224633,81.31091766775367
2013-05-23,0.0,84.435,82.96625,84.68754566025115,81.24495433974886
2013-05-24,0.0,83.92,83.01750000000001,84.78760310434151,81.24739689565851
2013-05-27,0.0,83.695,83.08000000000001,84.85310180192775,81.30689819807228
2013-05-28,0.0,83.725,83.155,84.90382532003609,81.40617467996391
2013-05-29,0.0,84.385,83.28725,84.98741609482701,81.58708390517299
2013-05-30,0.0,83.605,83.38550000000001,84.91175653151733,81.85924346848269
2013-05-31,-2.0,83.1,83.426,84.87485333971361,81.9771466602864
2013-06-03,0.0,83.355,83.48675,84.81138683702336,82.16211316297664
2013-06-04,0.0,82.73,83.50425,84.77821732689628,82.23028267310372
2013-06-05,0.0,82.855,83.52875,84.73096410322756,82.32653589677244
2013-06-06,0.0,82.605,83.56075000000001,84.62038330921563,82.5011166907844
2013-06-07,1.0,81.585,83.49925,84.83236017924224,82.16613982075776
2013-06-10,0.0,81.8,83.426,84.94988844736066,81.90211155263934
2013-06-11,0.0,81.72,83.34975,85.04518939732428,81.65431060267572
2013-06-12,0.0,81.1,83.21874999999999,85.16572939126209,81.27177060873788
2013-06-13,0.0,80.865,83.06749999999998,85.23939663658271,80.89560336341725
2013-06-14,-1.0,80.755,82.91124999999997,85.26857448975512,80.55392551024481
