,Date,Date2,Settle,Open,High,Low,Change %,MA,STD,Upper Band,Lower Band,Short Position Stop,Long Position Stop,Short Position Stop Clone,Long Position Stop Clone
75,16/04/2013,"Apr 16, 2013",1.3178,1.3034,1.3203,1.3028,1.09%,1.29492,0.011591833332133372,1.3181036666642667,1.2717363333357334,,1.305711,0.0,1.305711
76,17/04/2013,"Apr 17, 2013",1.3030000000000002,1.3177,1.3203,1.3003,-1.12%,1.2954050000000001,0.011716162981111135,1.3188373259622224,1.271972674037778,,1.305711,0.0,1.305711
77,18/04/2013,"Apr 18, 2013",1.3052,1.3031,1.3098,1.3022,0.17%,1.2961750000000003,0.011828012301310814,1.319831024602622,1.2725189753973787,,1.305711,0.0,1.305711
78,19/04/2013,"Apr 19, 2013",1.3052,1.305,1.3129,1.3046,0.00%,1.2964950000000002,0.011980295280165684,1.3204555905603315,1.272534409439669,,1.305711,0.0,1.305711
79,22/04/2013,"Apr 22, 2013",1.3067,1.3079,1.3094,1.3015,0.11%,1.2975700000000001,0.011882764829784405,1.321335529659569,1.2738044703404312,,1.305711,0.0,1.305711
80,23/04/2013,"Apr 23, 2013",1.2999,1.3066,1.3085,1.2973,-0.52%,1.2982600000000002,0.011593851818958261,1.3214477036379166,1.2750722963620837,,1.305711,0.0,1.305711
81,24/04/2013,"Apr 24, 2013",1.3016,1.2998,1.3035,1.2955,0.13%,1.2994400000000002,0.010632939386640144,1.3207058787732804,1.27817412122672,,1.305711,0.0,1.305711
82,25/04/2013,"Apr 25, 2013",1.3013,1.3013,1.3094,1.2989,-0.02%,1.3004250000000002,0.009815746278300211,1.3200564925566005,1.2807935074433998,,1.305711,0.0,1.305711
83,26/04/2013,"Apr 26, 2013",1.3028,1.3013,1.3049,1.2992,0.12%,1.3014650000000003,0.008864269569454951,1.3191935391389102,1.2837364608610904,,1.305711,0.0,1.305711
84,29/04/2013,"Apr 29, 2013",1.31,1.3032,1.3117,1.3028,0.55%,1.3027200000000003,0.008180623448122187,1.3190812468962447,1.286358753103756,,1.305711,0.0,1.305711
85,30/04/2013,"Apr 30, 2013",1.3167,1.3098,1.3186,1.3056,0.51%,1.3044550000000004,0.007226235188531326,1.318907470377063,1.2900025296229378,,1.305711,0.0,1.305711
86,01/05/2013,"May 01, 2013",1.318,1.3169,1.3245,1.3161,0.10%,1.3061000000000003,0.006320996756839091,1.3187419935136784,1.2934580064863221,,1.305711,0.0,1.305711
87,02/05/2013,"May 02, 2013",1.3064,1.318,1.3216,1.3037,-0.88%,1.3067400000000002,0.005633595654639345,1.318007191309279,1.2954728086907215,,1.305711,0.0,1.305711
88,03/05/2013,"May 03, 2013",1.3115,1.3065,1.3159999999999998,1.3035,0.39%,1.3073650000000003,0.0054299424490478945,1.3182248848980962,1.2965051151019045,,1.305711,0.0,1.305711
89,06/05/2013,"May 06, 2013",1.3076,1.3115,1.3143,1.3054,-0.30%,1.3077000000000003,0.0052235045706855296,1.3181470091413714,1.2972529908586292,,1.305711,0.0,1.305711
90,07/05/2013,"May 07, 2013",1.3079,1.3075,1.3133,1.3068,0.02%,1.3076850000000004,0.005222477860170649,1.3181299557203416,1.2972400442796592,,1.305711,0.0,1.305711
91,08/05/2013,"May 08, 2013",1.3152,1.3079,1.3196,1.3072,0.56%,1.3080950000000005,0.005468681285280132,1.3190323625705607,1.2971576374294402,,1.305711,0.0,1.305711
92,09/05/2013,"May 09, 2013",1.3043,1.3154,1.318,1.3011,-0.83%,1.3077950000000005,0.0055039508537025284,1.3188029017074054,1.2967870982925955,,1.305711,0.0,1.305711
93,10/05/2013,"May 10, 2013",1.2993,1.3042,1.3051,1.2936,-0.38%,1.3072000000000004,0.005741776728502439,1.3186835534570052,1.2957164465429956,,1.305711,0.0,1.305711
94,13/05/2013,"May 13, 2013",1.2976,1.2957,1.2999,1.2942,-0.13%,1.3069000000000004,0.006069431604357355,1.319038863208715,1.2947611367912857,,1.305711,0.0,1.305711
95,14/05/2013,"May 14, 2013",1.2919999999999998,1.2976,1.3030000000000002,1.2916,-0.43%,1.3056100000000004,0.006350897574356802,1.318311795148714,1.2929082048512868,,1.2790799999999998,0.0,1.2790799999999998
96,15/05/2013,"May 15, 2013",1.2887,1.2919,1.2943,1.2843,-0.26%,1.3048950000000004,0.007333449052115286,1.319561898104231,1.2902281018957698,,1.2790799999999998,0.0,1.2790799999999998
97,16/05/2013,"May 16, 2013",1.2882,1.2886,1.2930000000000001,1.2846,-0.04%,1.3040450000000003,0.008184648740170199,1.3204142974803408,1.28767570251966,,1.2790799999999998,0.0,1.2790799999999998
98,17/05/2013,"May 17, 2013",1.2839,1.2881,1.2890000000000001,1.2796,-0.33%,1.3029800000000002,0.00927785535562871,1.3215357107112577,1.2844242892887427,,1.2790799999999998,0.0,1.2790799999999998
99,20/05/2013,"May 20, 2013",1.2883,1.2811,1.2902,1.2803,0.34%,1.3020600000000004,0.009762960616532639,1.3215859212330656,1.2825340787669353,,1.2790799999999998,0.0,1.2790799999999998
