Date,Date2,Settle,Open,High,Low,Change %
04/02/2013,"Feb 04, 2013",1.3514,1.3642,1.3659,1.3504,-0.92%
05/02/2013,"Feb 05, 2013",1.3584,1.3514,1.3599,1.3459,0.52%
06/02/2013,"Feb 06, 2013",1.3523,1.3584,1.3598,1.3495,-0.45%
07/02/2013,"Feb 07, 2013",1.3396,1.3521,1.3577,1.3369,-0.94%
08/02/2013,"Feb 08, 2013",1.3365,1.3398,1.3431,1.3354,-0.23%
11/02/2013,"Feb 11, 2013",1.3407,1.3359,1.3428,1.3325,0.31%
12/02/2013,"Feb 12, 2013",1.3454,1.3406,1.3476,1.3365,0.35%
13/02/2013,"Feb 13, 2013",1.3453,1.3453,1.3521,1.3426,-0.01%
14/02/2013,"Feb 14, 2013",1.3361,1.3451,1.3456,1.3314,-0.68%
15/02/2013,"Feb 15, 2013",1.3363,1.3363,1.3394,1.3306,0.01%
18/02/2013,"Feb 18, 2013",1.3352,1.3357,1.3377,1.3321,-0.08%
19/02/2013,"Feb 19, 2013",1.3388,1.3352,1.3397,1.3329,0.27%
20/02/2013,"Feb 20, 2013",1.3281,1.3387,1.3434,1.327,-0.80%
21/02/2013,"Feb 21, 2013",1.3189,1.3283,1.3291,1.3161,-0.69%
22/02/2013,"Feb 22, 2013",1.319,1.319,1.3247,1.3146,0.01%
25/02/2013,"Feb 25, 2013",1.3062,1.3175,1.3319,1.3047,-0.97%
26/02/2013,"Feb 26, 2013",1.3062,1.3062,1.3121,1.3018,0.00%
27/02/2013,"Feb 27, 2013",1.3139,1.306,1.3148,1.3041,0.59%
28/02/2013,"Feb 28, 2013",1.3056,1.3138,1.3163,1.3051,-0.63%
01/03/2013,"Mar 01, 2013",1.3022,1.3055,1.3102,1.2967,-0.26%
04/03/2013,"Mar 04, 2013",1.3026,1.3018,1.3032,1.2982,0.03%
05/03/2013,"Mar 05, 2013",1.3051,1.3026,1.3077,1.3009,0.19%
06/03/2013,"Mar 06, 2013",1.2967,1.3053,1.3072,1.2963,-0.64%
07/03/2013,"Mar 07, 2013",1.3106,1.2967,1.3121,1.2967,1.07%
08/03/2013,"Mar 08, 2013",1.3006,1.3107,1.3136,1.2957,-0.76%
11/03/2013,"Mar 11, 2013",1.3045,1.2999,1.3054,1.298,0.30%
12/03/2013,"Mar 12, 2013",1.3034,1.3044,1.3076,1.2992,-0.08%
13/03/2013,"Mar 13, 2013",1.2961,1.3034,1.3065,1.2923,-0.56%
14/03/2013,"Mar 14, 2013",1.3005,1.2961,1.3033,1.2911,0.34%
15/03/2013,"Mar 15, 2013",1.3076,1.3005,1.3109,1.2999,0.55%
18/03/2013,"Mar 18, 2013",1.2956,1.2959,1.2997,1.2882,-0.92%
19/03/2013,"Mar 19, 2013",1.2883,1.2957,1.2971,1.2845,-0.56%
20/03/2013,"Mar 20, 2013",1.2933,1.2881,1.2978,1.2854,0.39%
21/03/2013,"Mar 21, 2013",1.2898,1.2932,1.2956,1.288,-0.27%
22/03/2013,"Mar 22, 2013",1.2988,1.2898,1.3011,1.2889,0.70%
25/03/2013,"Mar 25, 2013",1.2852,1.2972,1.3049,1.283,-1.05%
26/03/2013,"Mar 26, 2013",1.2861,1.2852,1.289,1.2828,0.07%
27/03/2013,"Mar 27, 2013",1.278,1.2862,1.2868,1.275,-0.63%
28/03/2013,"Mar 28, 2013",1.2816,1.278,1.2845,1.2755,0.28%
29/03/2013,"Mar 29, 2013",1.282,1.2816,1.2839,1.2793,0.03%
01/04/2013,"Apr 01, 2013",1.2849,1.2814,1.2868,1.2771,0.23%
02/04/2013,"Apr 02, 2013",1.282,1.2847,1.2879,1.2809,-0.23%
03/04/2013,"Apr 03, 2013",1.2851,1.282,1.2865,1.279,0.24%
04/04/2013,"Apr 04, 2013",1.2936,1.2849,1.295,1.2746,0.66%
05/04/2013,"Apr 05, 2013",1.299,1.2936,1.3041,1.29,0.42%
08/04/2013,"Apr 08, 2013",1.3009,1.2975,1.3039,1.2963,0.15%
09/04/2013,"Apr 09, 2013",1.3082,1.3008,1.3104,1.3004,0.56%
10/04/2013,"Apr 10, 2013",1.307,1.3082,1.3123,1.3052,-0.09%
11/04/2013,"Apr 11, 2013",1.3103,1.3069,1.3139,1.3044,0.25%
12/04/2013,"Apr 12, 2013",1.3112,1.3098,1.3127,1.3037,0.07%
15/04/2013,"Apr 15, 2013",1.3036,1.3134,1.3135,1.3023,-0.58%
16/04/2013,"Apr 16, 2013",1.3178,1.3034,1.3203,1.3028,1.09%
17/04/2013,"Apr 17, 2013",1.303,1.3177,1.3203,1.3003,-1.12%
18/04/2013,"Apr 18, 2013",1.3052,1.3031,1.3098,1.3022,0.17%
19/04/2013,"Apr 19, 2013",1.3052,1.305,1.3129,1.3046,0.00%
22/04/2013,"Apr 22, 2013",1.3067,1.3079,1.3094,1.3015,0.11%
23/04/2013,"Apr 23, 2013",1.2999,1.3066,1.3085,1.2973,-0.52%
24/04/2013,"Apr 24, 2013",1.3016,1.2998,1.3035,1.2955,0.13%
25/04/2013,"Apr 25, 2013",1.3013,1.3013,1.3094,1.2989,-0.02%
26/04/2013,"Apr 26, 2013",1.3028,1.3013,1.3049,1.2992,0.12%
29/04/2013,"Apr 29, 2013",1.31,1.3032,1.3117,1.3028,0.55%
30/04/2013,"Apr 30, 2013",1.3167,1.3098,1.3186,1.3056,0.51%
01/05/2013,"May 01, 2013",1.318,1.3169,1.3245,1.3161,0.10%
02/05/2013,"May 02, 2013",1.3064,1.318,1.3216,1.3037,-0.88%
03/05/2013,"May 03, 2013",1.3115,1.3065,1.316,1.3035,0.39%
06/05/2013,"May 06, 2013",1.3076,1.3115,1.3143,1.3054,-0.30%
07/05/2013,"May 07, 2013",1.3079,1.3075,1.3133,1.3068,0.02%
08/05/2013,"May 08, 2013",1.3152,1.3079,1.3196,1.3072,0.56%
09/05/2013,"May 09, 2013",1.3043,1.3154,1.318,1.3011,-0.83%
10/05/2013,"May 10, 2013",1.2993,1.3042,1.3051,1.2936,-0.38%
13/05/2013,"May 13, 2013",1.2976,1.2957,1.2999,1.2942,-0.13%
14/05/2013,"May 14, 2013",1.292,1.2976,1.303,1.2916,-0.43%
15/05/2013,"May 15, 2013",1.2887,1.2919,1.2943,1.2843,-0.26%
16/05/2013,"May 16, 2013",1.2882,1.2886,1.293,1.2846,-0.04%
17/05/2013,"May 17, 2013",1.2839,1.2881,1.289,1.2796,-0.33%
20/05/2013,"May 20, 2013",1.2883,1.2811,1.2902,1.2803,0.34%
21/05/2013,"May 21, 2013",1.2906,1.2883,1.2934,1.2841,0.18%
22/05/2013,"May 22, 2013",1.2858,1.2906,1.3,1.2833,-0.37%
23/05/2013,"May 23, 2013",1.2936,1.2857,1.2956,1.2821,0.61%
24/05/2013,"May 24, 2013",1.2932,1.2938,1.2998,1.2906,-0.03%
27/05/2013,"May 27, 2013",1.2932,1.2928,1.2951,1.2917,0.00%
28/05/2013,"May 28, 2013",1.2856,1.2929,1.2951,1.2849,-0.59%
29/05/2013,"May 29, 2013",1.2941,1.2857,1.298,1.284,0.66%
30/05/2013,"May 30, 2013",1.305,1.294,1.3063,1.2934,0.84%
31/05/2013,"May 31, 2013",1.2999,1.3053,1.3063,1.2947,-0.39%
03/06/2013,"Jun 03, 2013",1.3076,1.2983,1.3108,1.2955,0.59%
04/06/2013,"Jun 04, 2013",1.3081,1.3077,1.3104,1.3043,0.04%
05/06/2013,"Jun 05, 2013",1.3094,1.3081,1.3115,1.3053,0.10%
06/06/2013,"Jun 06, 2013",1.3247,1.3095,1.3306,1.3075,1.17%
07/06/2013,"Jun 07, 2013",1.3223,1.3246,1.3285,1.3191,-0.18%
10/06/2013,"Jun 10, 2013",1.3257,1.3207,1.327,1.3177,0.26%
11/06/2013,"Jun 11, 2013",1.3315,1.3257,1.3318,1.3232,0.44%
12/06/2013,"Jun 12, 2013",1.3337,1.3314,1.3361,1.3266,0.17%
13/06/2013,"Jun 13, 2013",1.3375,1.3336,1.3391,1.3278,0.28%
14/06/2013,"Jun 14, 2013",1.3347,1.3375,1.3376,1.3294,-0.21%
17/06/2013,"Jun 17, 2013",1.3369,1.3342,1.3382,1.3317,0.16%
18/06/2013,"Jun 18, 2013",1.3394,1.3368,1.3416,1.3325,0.19%
19/06/2013,"Jun 19, 2013",1.3295,1.3392,1.3415,1.326,-0.74%
20/06/2013,"Jun 20, 2013",1.322,1.3296,1.3303,1.3163,-0.56%
21/06/2013,"Jun 21, 2013",1.3123,1.3219,1.3254,1.3099,-0.73%
24/06/2013,"Jun 24, 2013",1.3119,1.3117,1.3146,1.306,-0.03%
25/06/2013,"Jun 25, 2013",1.3085,1.3118,1.3151,1.3064,-0.26%
26/06/2013,"Jun 26, 2013",1.3012,1.3081,1.3088,1.2984,-0.56%
27/06/2013,"Jun 27, 2013",1.3037,1.3013,1.3058,1.3001,0.19%
28/06/2013,"Jun 28, 2013",1.301,1.3037,1.3105,1.2992,-0.21%
01/07/2013,"Jul 01, 2013",1.3064,1.3006,1.3067,1.3001,0.42%
02/07/2013,"Jul 02, 2013",1.2979,1.3065,1.308,1.2964,-0.65%
03/07/2013,"Jul 03, 2013",1.3009,1.2978,1.3032,1.2923,0.23%
04/07/2013,"Jul 04, 2013",1.2913,1.3009,1.3024,1.2883,-0.74%
05/07/2013,"Jul 05, 2013",1.2832,1.2913,1.2918,1.2807,-0.63%
08/07/2013,"Jul 08, 2013",1.287,1.2825,1.2883,1.2809,0.30%
09/07/2013,"Jul 09, 2013",1.2781,1.287,1.2899,1.2755,-0.69%
10/07/2013,"Jul 10, 2013",1.2976,1.2781,1.2985,1.2765,1.53%
11/07/2013,"Jul 11, 2013",1.3096,1.298,1.3204,1.2965,0.92%
12/07/2013,"Jul 12, 2013",1.3068,1.3097,1.3103,1.3,-0.21%
15/07/2013,"Jul 15, 2013",1.3062,1.3066,1.3085,1.2994,-0.05%
16/07/2013,"Jul 16, 2013",1.3162,1.3062,1.3175,1.3052,0.77%
17/07/2013,"Jul 17, 2013",1.3125,1.3161,1.3177,1.3084,-0.28%
18/07/2013,"Jul 18, 2013",1.311,1.3125,1.3128,1.3066,-0.11%
19/07/2013,"Jul 19, 2013",1.3142,1.311,1.3154,1.3087,0.24%
22/07/2013,"Jul 22, 2013",1.3186,1.3142,1.322,1.3131,0.33%
23/07/2013,"Jul 23, 2013",1.3224,1.3186,1.3241,1.3165,0.29%
24/07/2013,"Jul 24, 2013",1.3201,1.3222,1.3256,1.3176,-0.17%
25/07/2013,"Jul 25, 2013",1.3277,1.3199,1.3296,1.3165,0.58%
26/07/2013,"Jul 26, 2013",1.3279,1.3277,1.3297,1.3252,0.02%
29/07/2013,"Jul 29, 2013",1.3262,1.3276,1.3297,1.3241,-0.13%
30/07/2013,"Jul 30, 2013",1.3263,1.3262,1.3302,1.3234,0.01%
31/07/2013,"Jul 31, 2013",1.3302,1.3264,1.3346,1.3215,0.29%
01/08/2013,"Aug 01, 2013",1.3207,1.3301,1.3311,1.3197,-0.71%
02/08/2013,"Aug 02, 2013",1.3283,1.3207,1.3295,1.319,0.58%
05/08/2013,"Aug 05, 2013",1.3258,1.3274,1.3302,1.3232,-0.19%
06/08/2013,"Aug 06, 2013",1.3306,1.3258,1.3325,1.3245,0.36%
07/08/2013,"Aug 07, 2013",1.3337,1.3307,1.3347,1.3266,0.23%
08/08/2013,"Aug 08, 2013",1.3382,1.3338,1.3403,1.3329,0.34%
09/08/2013,"Aug 09, 2013",1.3343,1.338,1.3391,1.3333,-0.29%
12/08/2013,"Aug 12, 2013",1.33,1.334,1.3346,1.3278,-0.32%
13/08/2013,"Aug 13, 2013",1.3262,1.3299,1.3317,1.3233,-0.29%
14/08/2013,"Aug 14, 2013",1.3256,1.3262,1.3279,1.3239,-0.05%
15/08/2013,"Aug 15, 2013",1.3348,1.3256,1.3365,1.3207,0.69%
16/08/2013,"Aug 16, 2013",1.3329,1.3346,1.338,1.331,-0.14%
19/08/2013,"Aug 19, 2013",1.3335,1.3328,1.3376,1.3316,0.05%
20/08/2013,"Aug 20, 2013",1.3417,1.3336,1.3453,1.3323,0.61%
21/08/2013,"Aug 21, 2013",1.3357,1.3416,1.3428,1.3335,-0.45%
22/08/2013,"Aug 22, 2013",1.3356,1.3355,1.3375,1.3299,-0.01%
23/08/2013,"Aug 23, 2013",1.3382,1.3356,1.341,1.3333,0.19%
26/08/2013,"Aug 26, 2013",1.3369,1.3382,1.3394,1.3356,-0.10%
27/08/2013,"Aug 27, 2013",1.3393,1.3368,1.34,1.3324,0.18%
28/08/2013,"Aug 28, 2013",1.334,1.3393,1.3399,1.3306,-0.40%
29/08/2013,"Aug 29, 2013",1.3241,1.3339,1.3344,1.3219,-0.74%
30/08/2013,"Aug 30, 2013",1.3222,1.3243,1.3256,1.3175,-0.14%
02/09/2013,"Sep 02, 2013",1.3192,1.3234,1.3238,1.3184,-0.23%
03/09/2013,"Sep 03, 2013",1.317,1.3191,1.3198,1.3138,-0.17%
04/09/2013,"Sep 04, 2013",1.3209,1.3171,1.322,1.3156,0.30%
05/09/2013,"Sep 05, 2013",1.312,1.3207,1.3223,1.311,-0.67%
06/09/2013,"Sep 06, 2013",1.318,1.3119,1.3189,1.3104,0.46%
09/09/2013,"Sep 09, 2013",1.3255,1.3169,1.3281,1.3159,0.57%
10/09/2013,"Sep 10, 2013",1.3268,1.3255,1.3276,1.323,0.10%
11/09/2013,"Sep 11, 2013",1.3312,1.327,1.3327,1.3245,0.33%
12/09/2013,"Sep 12, 2013",1.3299,1.331,1.3326,1.3261,-0.10%
13/09/2013,"Sep 13, 2013",1.3294,1.3299,1.3323,1.3255,-0.04%
16/09/2013,"Sep 16, 2013",1.3334,1.3306,1.3386,1.3296,0.30%
17/09/2013,"Sep 17, 2013",1.3359,1.3334,1.3371,1.3326,0.19%
18/09/2013,"Sep 18, 2013",1.3522,1.3359,1.3542,1.3338,1.22%
19/09/2013,"Sep 19, 2013",1.353,1.3521,1.3569,1.35,0.06%
20/09/2013,"Sep 20, 2013",1.3524,1.3531,1.355,1.3498,-0.04%
23/09/2013,"Sep 23, 2013",1.3493,1.3546,1.3556,1.3479,-0.23%
24/09/2013,"Sep 24, 2013",1.3474,1.3493,1.3519,1.3464,-0.14%
25/09/2013,"Sep 25, 2013",1.3526,1.3473,1.3538,1.3461,0.39%
26/09/2013,"Sep 26, 2013",1.3489,1.3526,1.3529,1.3471,-0.27%
27/09/2013,"Sep 27, 2013",1.3522,1.3487,1.3565,1.3473,0.24%
30/09/2013,"Sep 30, 2013",1.3526,1.348,1.3557,1.3468,0.03%
01/10/2013,"Oct 01, 2013",1.3526,1.3528,1.359,1.3517,0.00%
02/10/2013,"Oct 02, 2013",1.3579,1.3527,1.3609,1.3509,0.39%
03/10/2013,"Oct 03, 2013",1.3618,1.3577,1.3646,1.3576,0.29%
