Date,security,holdings,cash,total,returns
2014-03-11,,0.0,100000.0,100000.0,0.0
2014-03-12,,0.0,100000.0,100000.0,0.0
2014-03-13,,0.0,100000.0,100000.0,0.0
2014-03-14,,0.0,100000.0,100000.0,0.0
2014-03-17,,0.0,100000.0,100000.0,0.0
2014-03-18,,0.0,100000.0,100000.0,0.0
2014-03-19,-48079.799999999996,-48079.799999999996,196159.59999999998,148079.8,0.48079799999999984
2014-03-20,,0.0,196159.59999999998,196159.59999999998,0.3246884450141072
2014-03-21,,0.0,196159.59999999998,196159.59999999998,0.0
2014-03-24,,0.0,196159.59999999998,196159.59999999998,0.0
2014-03-25,,0.0,196159.59999999998,196159.59999999998,0.0
2014-03-26,,0.0,196159.59999999998,196159.59999999998,0.0
2014-03-27,,0.0,196159.59999999998,196159.59999999998,0.0
2014-03-28,,0.0,196159.59999999998,196159.59999999998,0.0
2014-03-31,,0.0,196159.59999999998,196159.59999999998,0.0
2014-04-01,,0.0,196159.59999999998,196159.59999999998,0.0
2014-04-02,,0.0,196159.59999999998,196159.59999999998,0.0
2014-04-03,,0.0,196159.59999999998,196159.59999999998,0.0
2014-04-04,,0.0,196159.59999999998,196159.59999999998,0.0
2014-04-07,,0.0,196159.59999999998,196159.59999999998,0.0
2014-04-08,,0.0,196159.59999999998,196159.59999999998,0.0
2014-04-09,,0.0,196159.59999999998,196159.59999999998,0.0
2014-04-10,,0.0,196159.59999999998,196159.59999999998,0.0
2014-04-11,,0.0,196159.59999999998,196159.59999999998,0.0
2014-04-14,,0.0,196159.59999999998,196159.59999999998,0.0
2014-04-15,,0.0,196159.59999999998,196159.59999999998,0.0
2014-04-16,,0.0,196159.59999999998,196159.59999999998,0.0
2014-04-17,,0.0,196159.59999999998,196159.59999999998,0.0
2014-04-21,,0.0,196159.59999999998,196159.59999999998,0.0
2014-04-22,,0.0,196159.59999999998,196159.59999999998,0.0
2014-04-23,,0.0,196159.59999999998,196159.59999999998,0.0
2014-04-24,,0.0,196159.59999999998,196159.59999999998,0.0
2014-04-25,,0.0,196159.59999999998,196159.59999999998,0.0
2014-04-28,,0.0,196159.59999999998,196159.59999999998,0.0
2014-04-29,,0.0,196159.59999999998,196159.59999999998,0.0
2014-04-30,,0.0,196159.59999999998,196159.59999999998,0.0
2014-05-01,,0.0,196159.59999999998,196159.59999999998,0.0
2014-05-02,,0.0,196159.59999999998,196159.59999999998,0.0
2014-05-05,,0.0,196159.59999999998,196159.59999999998,0.0
2014-05-06,47475.600000000006,47475.600000000006,101208.39999999998,148684.0,-0.24202537117734735
2014-05-07,,0.0,101208.39999999998,101208.39999999998,-0.3193053724677841
2014-05-08,,0.0,101208.39999999998,101208.39999999998,0.0
2014-05-09,-47976.6,-47976.6,197161.59999999998,149184.99999999997,0.4740377280937156
2014-05-12,,0.0,197161.59999999998,197161.59999999998,0.3215913127995442
2014-05-13,,0.0,197161.59999999998,197161.59999999998,0.0
2014-05-14,,0.0,197161.59999999998,197161.59999999998,0.0
2014-05-15,,0.0,197161.59999999998,197161.59999999998,0.0
2014-05-16,,0.0,197161.59999999998,197161.59999999998,0.0
2014-05-19,,0.0,197161.59999999998,197161.59999999998,0.0
2014-05-20,,0.0,197161.59999999998,197161.59999999998,0.0
2014-05-21,,0.0,197161.59999999998,197161.59999999998,0.0
2014-05-22,,0.0,197161.59999999998,197161.59999999998,0.0
2014-05-23,,0.0,197161.59999999998,197161.59999999998,0.0
2014-05-26,,0.0,197161.59999999998,197161.59999999998,0.0
2014-05-27,,0.0,197161.59999999998,197161.59999999998,0.0
2014-05-28,,0.0,197161.59999999998,197161.59999999998,0.0
2014-05-29,,0.0,197161.59999999998,197161.59999999998,0.0
2014-05-30,,0.0,197161.59999999998,197161.59999999998,0.0
2014-06-02,,0.0,197161.59999999998,197161.59999999998,0.0
2014-06-03,,0.0,197161.59999999998,197161.59999999998,0.0
2014-06-04,,0.0,197161.59999999998,197161.59999999998,0.0
2014-06-05,,0.0,197161.59999999998,197161.59999999998,0.0
2014-06-06,,0.0,197161.59999999998,197161.59999999998,0.0
2014-06-09,,0.0,197161.59999999998,197161.59999999998,0.0
2014-06-10,,0.0,197161.59999999998,197161.59999999998,0.0
2014-06-11,,0.0,197161.59999999998,197161.59999999998,0.0
2014-06-12,,0.0,197161.59999999998,197161.59999999998,0.0
2014-06-16,,0.0,197161.59999999998,197161.59999999998,0.0
2014-06-17,,0.0,197161.59999999998,197161.59999999998,0.0
2014-06-18,,0.0,197161.59999999998,197161.59999999998,0.0
2014-06-19,,0.0,197161.59999999998,197161.59999999998,0.0
2014-06-20,,0.0,197161.59999999998,197161.59999999998,0.0
2014-06-23,,0.0,197161.59999999998,197161.59999999998,0.0
2014-06-24,,0.0,197161.59999999998,197161.59999999998,0.0
2014-06-25,,0.0,197161.59999999998,197161.59999999998,0.0
2014-06-26,,0.0,197161.59999999998,197161.59999999998,0.0
