,signal,index,Settle,MA,Upper Band,Lower Band,Short Position Stop,Long Position Stop,P&L
0,0.0,1.3205,1.3205,,,,,,0.0
1,0.0,1.3205,1.3186,,,,,,0.0
2,0.0,1.3205,1.3048,,,,,,0.0
3,0.0,1.3205,1.3069,,,,,,0.0
4,0.0,1.3205,1.3117,,,,,,0.0
5,0.0,1.3205,1.3083,,,,,,0.0
6,0.0,1.3205,1.3064,,,,,,0.0
7,0.0,1.3205,1.3271,,,,,,0.0
8,0.0,1.3205,1.3344,,,,,,0.0
9,0.0,1.3205,1.3383,,,,,,0.0
10,0.0,1.3205,1.3304,,,,,,0.0
11,0.0,1.3205,1.329,,,,,,0.0
12,0.0,1.3205,1.3377,,,,,,0.0
13,0.0,1.3205,1.3319,,,,,,0.0
14,0.0,1.3205,1.3314,,,,,,0.0
15,0.0,1.3205,1.3321,,,,,,0.0
16,0.0,1.3205,1.3318,,,,,,0.0
17,0.0,1.3205,1.3376,,,,,,0.0
18,0.0,1.3205,1.3462,,,,,,0.0
19,0.0,1.3205,1.3456,1.3265350000000002,1.352011913078315,1.3010580869216855,,,0.0
20,0.0,1.3205,1.3493,1.3279750000000001,1.3551253867375774,1.3008246132624228,,,0.0
21,0.0,1.3205,1.3568,1.3298850000000002,1.3594002350490393,1.3003697649509611,,,0.0
22,0.0,1.3205,1.3579,1.3325400000000003,1.3621046681023152,1.3029753318976853,,,0.0
23,0.0,1.3205,1.364,1.3353950000000003,1.3655268751490852,1.3052631248509154,,,0.0
24,0.0,1.3205,1.3514,1.3373800000000002,1.3662089854139903,1.3085510145860102,,,0.0
25,0.0,1.3205,1.3584,1.3398850000000002,1.366815449309287,1.3129545506907134,,,0.0
26,0.0,1.3205,1.3523,1.3421800000000004,1.3647799646017442,1.3195800353982565,,,0.0
27,0.0,1.3205,1.3396,1.3428050000000002,1.3643699229073531,1.3212400770926473,,,0.0
28,0.0,1.3205,1.3365,1.3429100000000003,1.3643301680665696,1.321489831933431,,,0.0
29,0.0,1.3205,1.3407,1.3430300000000004,1.3643722679207269,1.321687732079274,,,0.0
30,0.0,1.3205,1.3454,1.3437800000000004,1.3643338901427466,1.3232261098572542,,,0.0
31,0.0,1.3205,1.3453,1.3445950000000004,1.3640006151667525,1.3251893848332483,,,0.0
32,0.0,1.3205,1.3361,1.3445150000000006,1.3640464387590905,1.3249835612409107,,,0.0
33,0.0,1.3205,1.3363,1.3447350000000005,1.3637863280377012,1.3256836719622997,,,0.0
34,0.0,1.3205,1.3352,1.3449250000000006,1.3635106799714216,1.3263393200285796,,,0.0
35,0.0,1.3205,1.3388,1.3452600000000006,1.3631369572355059,1.3273830427644953,,,0.0
36,0.0,1.3205,1.3281,1.3450750000000005,1.3635711482476784,1.3265788517523225,,,0.0
37,1.0,1.3205,1.3189,1.3441400000000006,1.3656913711860776,1.3225886288139235,,1.305711,0.0
38,0.0,1.320600113722517,1.319,1.3427800000000005,1.3669174895132052,1.3186425104867958,,1.305711,9.999999999998899e-05
39,0.0,1.3076590009866051,1.3062,1.3408100000000005,1.3696738805429916,1.3119461194570095,,1.305711,-0.012799999999999923
40,0.0,1.3076590009866051,1.3062,1.3386550000000006,1.3708994088176554,1.3064105911823458,,1.305711,0.0
41,0.0,1.3153224261388974,1.3139,1.3365100000000005,1.369343086970312,1.303676913029689,,1.305711,0.00770000000000004
42,-1.0,1.3069606184359617,1.3056,1.3338950000000005,1.3678101573783767,1.2999798426216242,,1.305711,-0.008299999999999974
43,0.0,1.3069606184359617,1.3022,1.3308050000000002,1.364445717887703,1.2971642821122975,,1.305711,0.0
44,0.0,1.3069606184359617,1.3026,1.3283650000000005,1.3627475115429346,1.2939824884570663,,1.305711,0.0
45,0.0,1.3069606184359617,1.3051,1.3257000000000005,1.3585873835991862,1.292812616400815,,1.305711,0.0
46,0.0,1.3069606184359617,1.2967,1.3229200000000005,1.355743077247571,1.2900969227524302,,1.305711,0.0
47,0.0,1.3069606184359617,1.3106,1.3214700000000006,1.353775671328731,1.2891643286712702,,1.305711,0.0
48,0.0,1.3069606184359617,1.3006,1.3196750000000006,1.3524270915362666,1.2869229084637346,,1.305711,0.0
49,0.0,1.3069606184359617,1.3045,1.3178650000000005,1.3497592173442143,1.2859707826557867,,1.305711,0.0
50,0.0,1.3069606184359617,1.3034,1.3157650000000003,1.345594735164764,1.2859352648352367,,1.305711,0.0
51,0.0,1.3069606184359617,1.2961,1.3133050000000004,1.3410265782378987,1.285583421762102,,1.305711,0.0
52,0.0,1.3069606184359617,1.3005,1.3115250000000003,1.337691457536318,1.2853585424636826,,1.305711,0.0
53,0.0,1.3069606184359617,1.3076,1.3100900000000002,1.3336859233767173,1.286494076623283,,1.305711,0.0
54,0.0,1.3069606184359617,1.2956,1.3081100000000003,1.329486987626883,1.2867330123731175,,1.305711,0.0
55,0.0,1.3069606184359617,1.2883,1.3055850000000002,1.3235177939819733,1.287652206018027,,1.305711,0.0
56,0.0,1.3069606184359617,1.2933,1.3038450000000004,1.319281123217955,1.2884088767820456,,1.305711,0.0
57,0.0,1.3069606184359617,1.2898,1.3023900000000004,1.3173542106373801,1.2874257893626206,,1.305711,0.0
58,0.0,1.3069606184359617,1.2988,1.3013800000000004,1.3143123779715826,1.2884476220284182,,1.305711,0.0
59,0.0,1.3069606184359617,1.2852,1.3003300000000002,1.3148402860068251,1.2858197139931753,,1.305711,0.0
60,0.0,1.3069606184359617,1.2861,1.2993250000000003,1.3148206606829094,1.2838293393170912,,1.305711,0.0
