Date,ROR,Index,Leverage,,Settle,1.1
20130625,0.0065,826513.11,0.7,,836694.64,
20130626,0.0083,833345.3,0.7,,847607.52,
20130627,0.0126,843878.31,0.7,,864390.15,
20130628,0.0143,855908.18,0.7,,883814.23,
20130701,-0.019,839630.86,0.7,,857426.07,
20130702,0.0104,848336.83,0.7,,871438.86,
20130703,-0.0102,839691.38,0.7,,857470.94,
20130704,0,839691.38,0.7,,857470.94,
20130705,0.0889,914367.55,0.7,,977259.63,
20130708,-0.0316,885452.17,0.7,,928731.71,
20130709,-0.0024,883363.89,0.7,,925229.06,
20130710,0.026,906292.98,0.7,,963031.28,
20130711,-0.086,828387.75,0.7,,832884.48,
20130712,0.03,853219.27,0.7,,872149.03,
20130715,0.0083,860338.18,0.7,,883524.35,
20130716,-0.0222,841198.14,0.7,,852701.97,
20130717,0.0115,850885.69,0.7,,868111.51,
20130718,0.01,859429.47,0.7,,881753.27,
20130719,-0.0202,842095.64,0.7,,853763.9,
20130722,-0.0461,803308.42,0.7,,791914.8,
20130723,0.0099,811254.42,0.7,,804234.73,
20130724,0.0058,815939.14,0.7,,811564.76,
20130725,-0.0008,815319.42,0.7,,810544.51,
20130726,-0.0088,808136.02,0.7,,799335.83,
20130729,0.008,814632.97,0.7,,809384.63,
20130730,-0.0024,812647.74,0.7,,806332.09,
20130731,-0.0001,812534.91,0.7,,806205.38,
20130801,0.0567,858641.53,0.7,,878038.28,
20130802,-0.0232,838762.33,0.7,,846027.51,
20130805,0.0028,841077.83,0.7,,849750.03,
20130806,-0.0095,833114.25,0.7,,837064.48,
20130807,0.0058,837978.36,0.7,,844693.73,
20130808,-0.0296,813150.19,0.7,,805403.4,
20130809,0.0389,844810.08,0.7,,854636.56,
20130812,-0.0166,830814.8,0.7,,832342.75,
20130813,0.0428,866374.24,0.7,,888323.75,
20130814,-0.0057,861430.65,0.7,,880366.91,
20130815,-0.0198,844332.92,0.7,,852974.92,
20130816,0.022,862901.77,0.7,,882463.48,
20130819,-0.0352,832484.97,0.7,,833650.64,
20130820,-0.0366,801998.87,0.7,,785703.82,
20130821,-0.0189,786876.05,0.7,,762368.42,
20130822,0.016,799481.96,0.7,,781536.54,
20130823,-0.0048,795673.57,0.7,,775641.52,
20130826,-0.046,759057.46,0.7,,719573.72,
20130827,0.0195,773892.99,0.7,,741623.51,
20130828,0.0205,789774.27,0.7,,765514.39,
20130829,-0.0207,773455.26,0.7,,740613.3,
20130830,-0.014,762608.87,0.7,,724319.8,
20130902,0,762608.87,0.7,,724319.8,
20130903,0.0115,771411.88,0.7,,737409.3,
20130904,-0.0184,757215.57,0.7,,716087.63,
20130905,0.0252,776291.3,0.7,,744444.71,
20130906,0.0133,786606.4,0.7,,760003.6,
20130909,-0.0058,782031.8,0.7,,753076.71,
20130910,-0.0079,775875.95,0.7,,743727.8,
20130911,0.0222,793090.52,0.7,,769673.28,
20130912,-0.0017,791742.24,0.7,,767617.15,
20130913,0.0143,803090.63,0.7,,784866.6,
20130916,-0.0227,784891.45,0.7,,756869.29,
20130917,-0.019,769970.79,0.7,,734271.33,
20130918,0.0631,818591.31,0.7,,807079.58,
20130919,-0.0325,792025.14,0.7,,765860.88,
20130920,-0.0382,761754.98,0.7,,719887.34,
20130923,-0.0193,747043.13,0.7,,698054.19,
20130924,-0.0031,744701.41,0.7,,694653.67,
20130925,0.0274,765131.67,0.7,,724563.47,
20130926,-0.0068,759956.8,0.7,,716820.99,
20130927,-0.0107,751806.68,0.7,,704768.16,
