Date,oprc,hprc,lprc,cprc,Settle,tvol,oint,padj,futc
07/03/2013,1.19920384,1.204172109,1.199106423,1.203685024,1.203685024,1738.915379,10454.02256,0.974170463,921691
08/03/2013,1.203392773,1.207289455,1.203392773,1.205243697,1.205243697,2642.248044,10275.40906,0.974170463,921691
11/03/2013,1.20514628,1.206023033,1.202710853,1.203782441,1.203782441,1224.631669,9636.917109,0.974170463,921691
12/03/2013,1.203295356,1.204659194,1.200275427,1.202028934,1.202028934,1453.544379,9027.16756,0.974170463,921691
13/03/2013,1.202028934,1.203003105,1.198716755,1.202516019,1.202516019,3563.031453,7183.547713,0.974170463,921691
14/03/2013,1.202710853,1.204951445,1.19920384,1.199593508,1.199593508,2978.944765,6305.877908,0.974170463,921691
15/03/2013,1.200957347,1.201541849,1.194430404,1.195599409,1.195599409,3226.334733,4407.852798,0.974170463,921691
18/03/2013,1.187023914,1.19715859,1.185464733,1.192383598,1.192383598,6171.445506,10825.17104,0.974488067,921692
19/03/2013,1.194235126,1.194917267,1.186244324,1.188485646,1.188485646,1654.201888,11192.54342,0.974488067,921692
20/03/2013,1.187900953,1.191701457,1.187121363,1.189849929,1.189849929,1115.457477,11135.07735,0.974488067,921692
21/03/2013,1.191311662,1.191896354,1.187900953,1.19062952,1.19062952,1086.724441,11001.67397,0.974488067,921692
22/03/2013,1.190044827,1.191896354,1.188388197,1.190239725,1.190239725,1076.462643,11120.71083,0.974488067,921692
25/03/2013,1.189070339,1.193552984,1.186829016,1.187803505,1.187803505,1426.389966,11098.13488,0.974488067,921692
26/03/2013,1.187900953,1.190239725,1.187511158,1.187608607,1.187608607,972.8184802,11124.81555,0.974488067,921692
27/03/2013,1.187900953,1.1881933,1.185562182,1.186731568,1.186731568,909.1953306,11025.27611,0.974488067,921692
28/03/2013,1.186926465,1.188583095,1.18410045,1.18488004,1.18488004,1738.348634,11236.66915,0.974488067,921692
29/03/2013,1.18488004,1.18488004,1.18488004,1.18488004,1.18488004,0,11236.66915,0.974488067,921692
01/04/2013,1.185464733,1.186341772,1.184587694,1.185269836,1.185269836,497.6972182,11073.50656,0.974488067,921692
02/04/2013,1.184782591,1.186341772,1.182346371,1.184977489,1.184977489,1549.531545,10837.4852,0.974488067,921692
03/04/2013,1.185074938,1.186731568,1.181859127,1.182346371,1.182346371,1078.515003,10903.16071,0.974488067,921692
04/04/2013,1.182833615,1.186244324,1.182054025,1.184295347,1.184295347,2197.051019,11193.5696,0.974488067,921692
05/04/2013,1.184295347,1.185659631,1.182248923,1.182736167,1.182736167,1510.536712,11286.95197,0.974488067,921692
08/04/2013,1.182054025,1.185854528,1.181566781,1.185172387,1.185172387,1016.944213,11385.46523,0.974488067,921692
09/04/2013,1.185562182,1.189849929,1.185464733,1.188680544,1.188680544,920.4833088,11315.685,0.974488067,921692
10/04/2013,1.188290749,1.188680544,1.186439221,1.187023914,1.187023914,742.9541979,11321.84208,0.974488067,921692
